# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	352855
#@/user_id	5ccb50a0-6ba1-4de8-9045-d7436d20e87a
a 	啊	c=5862 d=5.05529 t=352657
an quan guan li 	安全管理	c=1 d=1 t=339769
an quan xing 	安全性	c=2 d=1 t=131879
an quan yun 	安全雲	c=1 d=1 t=170207
an shang 	岸上	c=2 d=1 t=303794
an shi 	按時	c=7 d=1 t=341993
an shi 	暗示	c=1 d=1 t=75237
an shuo 	按說	c=22 d=1 t=352634
an ta 	按他	c=1 d=1 t=284767
an tian 	按天	c=1 d=1 t=100204
an wei 	安慰	c=3 d=1 t=302847
an wo 	安臥	c=3 d=1 t=142211
an xia 	按下	c=2 d=1 t=266842
an xia qu 	按下去	c=1 d=1 t=41394
an xiao jing 	安孝敬	c=1 d=1 t=116890
an xin 	安心	c=4 d=1 t=333602
an yue 	按月	c=13 d=1 t=350958
an yue shou qu 	按月收取	c=1 d=1 t=235107
an yun 	安雲	c=2 d=1.79057 t=136520
an zha 	安扎	c=1 d=1 t=143748
an zhao 	按照	c=140 d=1 t=351267
an zhe me 	按這麼	c=1 d=1 t=208845
an zheng 	安證	c=1 d=1 t=297708
an zhu 	按住	c=1 d=1 t=346061
an zhuan 	暗轉	c=2 d=1 t=340067
an zhuang 	安裝	c=32 d=1.00003 t=340068
an zhuang bao 	安裝包	c=4 d=1 t=298404
an zhuang guan li 	安裝管理	c=1 d=1 t=231962
an zhuang shang 	安裝上	c=1 d=1 t=101291
an zhuo 	安卓	c=103 d=1.05468 t=352855
an zhuo de 	安卓的	c=3 d=1 t=272257
an zi 	案子	c=1 d=1 t=330213
an zu ang 	按組昂	c=1 d=1 t=83839
ang 	昂	c=38 d=1 t=342376
ang mian 	昂麪	c=1 d=1 t=184505
ang shi 	昂是	c=1 d=1 t=226390
ao 	傲	c=1 d=1 t=111262
ao 	奧	c=115 d=1.0001 t=350443
ao 	熬	c=7 d=1 t=271657
ao ao 	嗷嗷	c=18 d=1 t=108011
ao ao 	奧奧	c=856 d=2.87617 t=352739
ao ao ao ao 	奧奧奧奧	c=1 d=1 t=58981
ao ao dai bu 	嗷嗷待哺	c=2 d=1 t=333469
ao ao hao ba 	奧奧好吧	c=1 d=1 t=117016
ao ba ma 	奧巴馬	c=1 d=1 t=178009
ao bu guo 	熬不過	c=0 d=0.1 t=111391
ao bu guo qu 	熬不過去	c=1 d=1 t=111392
ao bu zhu 	熬不住	c=1 d=1 t=152513
ao da li ya 	澳大利亞	c=2 d=1 t=72430
ao er 	奧爾	c=1 d=1 t=188998
ao fan 	奧飯	c=1 d=1 t=210155
ao guo 	熬過	c=1 d=1 t=304887
ao la 	奧拉	c=1 d=1 t=318468
ao lin pi ke 	奧林匹克	c=1 d=1 t=232695
ao mei 	奧美	c=1 d=1 t=161108
ao o 	奧哦	c=11 d=1 t=345436
ao si ka 	奧斯卡	c=1 d=1 t=251147
ao te lai si 	奧特萊斯	c=2 d=1 t=195741
ao ye 	熬夜	c=7 d=1 t=279419
ao yun 	奧運	c=1 d=1 t=108871
ao zuo 	奧做	c=1 d=1 t=256738
ba 	八	c=5 d=1 t=324950
ba 	吧	c=3133 d=2.32411 t=352849
ba 	壩	c=1 d=1 t=232687
ba 	巴	c=7 d=1 t=351863
ba 	把	c=606 d=1.16383 t=352842
ba 	拔	c=5 d=1 t=333779
ba 	爸	c=5 d=1.00038 t=310096
ba 	霸	c=3 d=1.56553 t=311119
ba ba 	巴巴	c=1 d=1 t=27343
ba bai 	八百	c=1 d=1 t=233264
ba bao zhou 	八寶粥	c=3 d=1 t=73103
ba bu 	八部	c=1 d=1 t=302193
ba bu er 	巴布爾	c=0 d=0.1 t=43810
ba bu er o 	巴布爾哦	c=1 d=1 t=43811
ba ci 	八次	c=1 d=1 t=398
ba da 	八大	c=2 d=1.97531 t=327771
ba dao 	霸道	c=1 d=1 t=195473
ba dian 	八點	c=1 d=1 t=178616
ba diao 	拔掉	c=1 d=1 t=110253
ba e jing 	吧扼頸	c=1 d=1 t=173133
ba fen 	八分	c=1 d=1 t=324946
ba gua 	八卦	c=5 d=1 t=108877
ba guan 	把關	c=1 d=1 t=128774
ba guan 	拔罐	c=1 d=1 t=287646
ba ji 	吧唧	c=2 d=1 t=304881
ba jiu 	八九	c=1 d=1 t=233380
ba jiu bu li shi 	八九不離十	c=1 d=1 t=151512
ba le 	拔了	c=5 d=1 t=287421
ba le 	罷了	c=1 d=1 t=115129
ba li lv 	巴黎綠	c=0 d=0.1 t=122985
ba ma 	爸媽	c=6 d=1 t=328407
ba men 	把門	c=1 d=1 t=33471
ba ne ba 	吧呢吧	c=3 d=1 t=68358
ba ne bu neng 	吧呢不能	c=4 d=1 t=88259
ba ni 	把你	c=6 d=1 t=280487
ba ni men 	吧你們	c=1 d=1 t=85328
ba ou o 	吧藕哦	c=1 d=1 t=183251
ba pi 	扒皮	c=1 d=1 t=51102
ba qi 	霸氣	c=2 d=1 t=214168
ba qiao 	巴喬	c=215 d=1.00062 t=352654
ba qiao shuo 	巴喬說	c=1 d=1 t=152063
ba qun 	拔羣	c=1 d=1 t=348867
ba ren 	把人	c=0 d=0.1 t=304755
ba ren jia 	把人家	c=1 d=1 t=304756
ba shi 	八十	c=1 d=1 t=261112
ba ta 	把他	c=1 d=1 t=171428
ba wang 	霸王	c=2 d=1 t=319766
ba wei 	八位	c=1 d=1 t=117076
ba wo 	把我	c=16 d=1 t=341098
ba wo 	把握	c=2 d=1 t=245112
ba xi 	巴西	c=4 d=1 t=338009
ba xi gui 	巴西龜	c=1 d=1 t=295200
ba xian 	八仙	c=1 d=1 t=171958
ba ya 	拔牙	c=9 d=1.00047 t=292964
ba ye 	八頁	c=1 d=1 t=96780
ba zhe 	八折	c=1 d=1 t=245050
ba zhe 	把這	c=0 d=0.1 t=82060
ba zhe ge 	把這個	c=2 d=1 t=335908
ba zi 	八字	c=2 d=0.1 t=239604
ba zi 	把子	c=1 d=1 t=189715
ba zi bu he 	八字不合	c=1 d=1 t=239605
bai 	佰	c=3 d=1 t=115430
bai 	拜	c=3 d=1 t=327226
bai 	擺	c=4 d=1 t=341879
bai 	柏	c=13 d=1 t=315315
bai 	白	c=45 d=1.00039 t=347132
bai 	百	c=12 d=1 t=350084
bai bai 	拜拜	c=1 d=1 t=185366
bai bu 	擺佈	c=0 d=0.1 t=110618
bai bu cheng 	擺佈成	c=1 d=1 t=110619
bai cai 	白菜	c=62 d=2.04051 t=331530
bai ci 	白瓷	c=2 d=1 t=279376
bai deng 	拜登	c=2 d=1 t=331483
bai di tan 	擺地攤	c=1 d=1 t=110648
bai du 	百度	c=86 d=2.28076 t=350345
bai du le 	百度了	c=1 d=1 t=318536
bai du tong ji 	百度統計	c=1 d=1 t=123723
bai du xia 	百度下	c=1 d=1 t=46853
bai du yun 	百度雲	c=1 d=1 t=163374
bai e luo si 	白俄羅斯	c=1 d=1 t=112939
bai fang 	拜訪	c=3 d=1 t=281255
bai fang 	擺放	c=1 d=1 t=345092
bai fen bi 	百分比	c=7 d=1 t=292618
bai fen zhi 	百分之	c=1 d=1 t=224650
bai gei 	白給	c=1 d=1 t=21064
bai geng 	白更	c=1 d=1 t=68308
bai hao 	擺好	c=1 d=1 t=214509
bai hao zi shi 	擺好姿勢	c=1 d=1 t=81685
bai jia 	敗家	c=1 d=1 t=39089
bai jia 	百家	c=1 d=1 t=319365
bai jing 	白淨	c=1 d=1 t=98087
bai jiu 	白酒	c=1 d=0.1 t=300102
bai jun zhi jiang 	敗軍之將	c=1 d=1 t=334257
bai ke 	百科	c=2 d=1.12246 t=194359
bai lan di 	白蘭地	c=2 d=1 t=302452
bai lang 	白狼	c=1 d=1 t=9375
bai long mai 	白龍脈	c=1 d=1 t=105344
bai luo bo 	白蘿蔔	c=1 d=1 t=77848
bai ma 	白馬	c=3 d=1 t=202532
bai mai 	白買	c=1 d=1 t=302727
bai mang 	白忙	c=1 d=1 t=276226
bai miao 	白描	c=1 d=1 t=208630
bai ming dan 	白名單	c=2 d=1 t=277905
bai pang 	白胖	c=2 d=1.99501 t=98093
bai pao 	白跑	c=1 d=1 t=52210
bai pi shu 	白皮書	c=3 d=1 t=235134
bai piao 	拜票	c=1 d=1 t=198805
bai ping 	擺平	c=1 d=1 t=348926
bai ren 	拜仁	c=1 d=1 t=345009
bai ri 	白日	c=4 d=1 t=333419
bai ri 	百日	c=1 d=1 t=115164
bai rou 	白肉	c=1 d=1 t=40086
bai se 	白色	c=5 d=1 t=266809
bai se de 	白色的	c=1 d=1 t=85342
bai shi 	百世	c=2 d=1.18544 t=230898
bai shi 	百事	c=1 d=1 t=116539
bai shu 	白薯	c=3 d=1 t=336593
bai shui 	白水	c=1 d=1 t=57986
bai song 	白送	c=2 d=1 t=90247
bai tan 	擺攤	c=2 d=1.94649 t=111455
bai tian 	白天	c=27 d=1 t=319710
bai tu 	白兔	c=0 d=0.1 t=226431
bai wan 	百萬	c=4 d=1 t=273450
bai xiang guo 	百香果	c=1 d=1 t=110464
bai xing 	百姓	c=1 d=1 t=351665
bai yao 	白藥	c=17 d=1 t=352437
bai ye 	白夜	c=1 d=1 t=230870
bai yi 	百億	c=1 d=1 t=213064
bai yun 	白雲	c=4 d=1.00034 t=350999
bai zao sheng 	白噪聲	c=1 d=1 t=54664
bai zhun bei 	白準備	c=1 d=1 t=329137
ban 	伴	c=2 d=1 t=295209
ban 	半	c=82 d=1 t=336849
ban 	拌	c=0 d=0.1 t=106601
ban 	斑	c=1 d=1 t=193472
ban 	板	c=2 d=1 t=175154
ban 	班	c=36 d=1 t=333466
ban 	般	c=1 d=1 t=314259
ban 	辦	c=142 d=1.48498 t=351845
ban ban 	斑斑	c=1 d=1 t=119616
ban ban 	班班	c=1 d=1 t=285970
ban bei 	半杯	c=1 d=1 t=15103
ban bei zi 	半輩子	c=0 d=0.1 t=33954
ban ben 	版本	c=387 d=0.101294 t=348111
ban ben de 	版本的	c=7 d=1 t=306351
ban ben er 	扳本兒	c=2 d=1 t=295966
ban ben fa bu 	版本發佈	c=1 d=1 t=91070
ban ben hao 	版本號	c=9 d=1 t=270783
ban ben ji hua 	版本計劃	c=1 d=1 t=195880
ban ben shi 	版本是	c=1 d=1 t=88308
ban bu dao 	辦不到	c=1 d=1 t=267956
ban bu xia lai 	辦不下來	c=2 d=1 t=121223
ban che 	班車	c=1 d=1 t=269108
ban cheng 	辦成	c=1 d=1 t=247742
ban cheng le 	辦成了	c=1 d=1 t=109212
ban ci 	班次	c=2 d=1 t=252165
ban dao 	搬到	c=4 d=1 t=352704
ban dian 	半點	c=9 d=1 t=238133
ban dian 	斑點	c=1 d=1 t=238134
ban er 	伴兒	c=0 d=0.1 t=32684
ban fa 	辦法	c=53 d=1 t=340262
ban fa le 	辦法了	c=1 d=1 t=207230
ban fan 	拌飯	c=1 d=1 t=212433
ban ga mi ge 	辦軋米個	c=1 d=1 t=226011
ban ge 	半個	c=3 d=1 t=133198
ban ge 	辦個	c=5 d=1 t=269744
ban ge xiao shi 	半個小時	c=2 d=1 t=84671
ban ge yue 	半個月	c=6 d=1 t=299271
ban gong 	辦公	c=35 d=1 t=349695
ban gong fei 	辦公費	c=1 d=1 t=78786
ban gong le 	辦公了	c=1 d=1 t=31399
ban gong lou 	辦公樓	c=2 d=1 t=220338
ban gong shi 	辦公室	c=50 d=1 t=352720
ban guo 	半過	c=1 d=1 t=34697
ban hao 	辦好	c=2 d=1 t=234722
ban hui 	班會	c=2 d=1.88692 t=163038
ban ji 	班級	c=1 d=1 t=177653
ban jia 	搬家	c=12 d=2.03419 t=186480
ban jia ma 	搬家嗎	c=1 d=1 t=114658
ban jiang 	頒獎	c=4 d=1 t=348504
ban ju 	半句	c=1 d=0.1 t=122414
ban ka 	辦卡	c=2 d=1 t=217380
ban lang 	伴郎	c=1 d=1 t=139473
ban le 	半了	c=1 d=1 t=320448
ban le 	辦了	c=5 d=1.97045 t=341558
ban li 	辦理	c=89 d=1 t=351873
ban li yi xie 	辦理一些	c=1 d=1 t=5739
ban li zhong 	辦理中	c=1 d=1 t=138450
ban lv 	伴侶	c=7 d=2.55778 t=324418
ban ma 	斑馬	c=4 d=1 t=337520
ban mian 	拌麪	c=4 d=1 t=340457
ban mian 	板麪	c=2 d=1 t=209270
ban nian 	半年	c=26 d=1.84789 t=338528
ban quan 	版權	c=6 d=1 t=335190
ban ren 	辦人	c=1 d=1 t=209426
ban shan yao 	半山腰	c=1 d=1 t=298059
ban sheng 	半生	c=0 d=0.1 t=325556
ban shi 	辦事	c=2 d=1 t=305825
ban sui 	伴隨	c=1 d=1 t=327895
ban tian 	半天	c=69 d=1.92312 t=344287
ban wan 	辦完	c=1 d=1 t=2125
ban xia lai 	搬下來	c=2 d=1 t=148163
ban xia lai le 	辦下來了	c=1 d=1 t=172300
ban xiao shi 	半小時	c=14 d=1 t=274031
ban ye 	半夜	c=2 d=1 t=259393
ban yue 	半月	c=1 d=1 t=177561
ban yun 	搬運	c=1 d=1 t=220065
ban zheng 	辦證	c=4 d=1 t=205656
ban zhi 	半隻	c=1 d=1 t=41274
ban zhu ren 	班主任	c=1 d=1 t=65558
ban zi 	板子	c=4 d=1.12369 t=63846
ban zi 	班子	c=2 d=1.54064 t=9513
ban zou 	伴奏	c=1 d=1 t=333457
ban zou 	搬走	c=4 d=1 t=294780
bang 	幫	c=12 d=1.95124 t=352337
bang 	棒	c=10 d=1.86502 t=340205
bang 	綁	c=3 d=1 t=302583
bang 	蚌	c=1 d=1 t=122620
bang 	邦	c=2 d=1 t=253189
bang bang 	幫幫	c=2 d=1 t=107873
bang bang tang 	棒棒糖	c=2 d=1.98511 t=107877
bang bang ying 	幫幫硬	c=1 d=1 t=84733
bang dan 	榜單	c=1 d=1 t=68592
bang dao 	幫到	c=1 d=1 t=103750
bang din 	棒𨈖	c=1 d=1 t=231076
bang ding 	綁定	c=98 d=1 t=330568
bang ding guan xi 	綁定關係	c=2 d=1.10487 t=308692
bang ding xia 	綁定下	c=1 d=1 t=231077
bang ding yi ge 	綁定一個	c=1 d=1 t=146467
bang ge 	幫個	c=2 d=1 t=189164
bang ge 	棒哥	c=13 d=2.14325 t=340406
bang ge ge 	棒哥個	c=1 d=1 t=269198
bang geng er 	棒更二	c=1 d=1 t=340181
bang gong 	幫工	c=3 d=1 t=148772
bang jia 	綁架	c=3 d=2.93523 t=213649
bang le 	幫了	c=1 d=1 t=27439
bang man 	棒慢	c=1 d=1 t=114651
bang mang 	幫忙	c=87 d=1 t=344088
bang mang kai tong liang ge 	幫忙開通兩個	c=1 d=1 t=237028
bang mang kan kan 	幫忙看看	c=1 d=1 t=66326
bang mang wen xia 	幫忙問下	c=1 d=1 t=73198
bang ni 	幫你	c=6 d=1 t=317823
bang nin 	幫您	c=0 d=0.1 t=110942
bang qiu 	棒球	c=1 d=1 t=236518
bang ren 	幫人	c=1 d=1 t=53701
bang ta 	幫他	c=2 d=1 t=304723
bang wo 	幫我	c=55 d=1 t=351105
bang wo ge 	幫我個	c=1 d=1 t=148689
bang wo zai 	幫我再	c=1 d=1 t=300616
bang wo zai 	幫我在	c=1 d=1 t=48217
bang zhe 	幫着	c=9 d=1 t=315503
bang zhu 	幫助	c=35 d=1 t=347298
bang zhu men dian 	幫助門店	c=2 d=1 t=171040
bang zhu wo 	幫助我	c=1 d=1 t=155142
bao 	保	c=2 d=1 t=267811
bao 	包	c=88 d=1.00001 t=350332
bao 	報	c=50 d=1.30844 t=348196
bao 	寶	c=46 d=1 t=333893
bao 	抱	c=2 d=1 t=191325
bao 	煲	c=3 d=1.0016 t=2169
bao 	飽	c=7 d=1 t=163897
bao 	鮑	c=1 d=1 t=123670
bao an 	保安	c=2 d=1.12307 t=99430
bao bao 	包包	c=1 d=1 t=44667
bao bao 	寶寶	c=2 d=0.1 t=79237
bao bao 	抱抱	c=1 d=1 t=26253
bao bei 	報備	c=3 d=1 t=348883
bao bei 	寶貝	c=663 d=1.06266 t=214408
bao bei a 	寶貝啊	c=15 d=1 t=103863
bao bei bie 	寶貝別	c=1 d=1 t=56968
bao bei chi bao 	寶貝吃飽	c=1 d=1 t=53120
bao bei de 	寶貝的	c=1 d=1 t=26770
bao bei er 	寶貝兒	c=7 d=1 t=99753
bao bei ke ai 	寶貝可愛	c=1 d=1 t=80042
bao bi 	包庇	c=1 d=1 t=27574
bao biao 	報表	c=14 d=1 t=318431
bao bie 	寶別	c=3 d=1 t=101863
bao bu bao han 	包不包含	c=1 d=1 t=329243
bao chi 	保持	c=10 d=1 t=316087
bao chi yi yang 	保持一樣	c=1 d=1 t=224831
bao chou 	報仇	c=1 d=1 t=108408
bao chu lai 	報出來	c=1 d=1 t=327483
bao cong 	報從	c=1 d=1 t=153713
bao cun 	保存	c=23 d=1.29376 t=341537
bao cuo 	報錯	c=77 d=1.00044 t=346292
bao cuo le 	報錯了	c=2 d=1 t=242435
bao dao 	報道	c=3 d=1 t=135435
bao duo 	包多	c=1 d=1 t=157419
bao e 	保額	c=0 d=0.1 t=78841
bao e ba 	保額吧	c=1 d=1 t=78842
bao e bi 	包餓比	c=1 d=1 t=87426
bao fei 	報廢	c=1 d=1 t=305378
bao feng 	暴風	c=1 d=1 t=217858
bao fu 	報復	c=1 d=1 t=39599
bao gao 	報告	c=88 d=1 t=347178
bao gao le 	寶高了	c=1 d=1 t=61598
bao gao shang 	報告上	c=1 d=1 t=257058
bao ge 	報個	c=1 d=1 t=333465
bao ge yue 	包個月	c=1 d=1 t=152019
bao guan 	保管	c=3 d=1 t=296212
bao gui 	寶貴	c=1 d=1 t=223435
bao han 	包含	c=147 d=1.00037 t=344954
bao han le 	包含了	c=1 d=0.1 t=254136
bao he 	飽和	c=1 d=1 t=94839
bao he du 	飽和度	c=1 d=1 t=30715
bao hu 	保護	c=17 d=1.9781 t=339911
bao huo 	寶貨	c=5 d=1.90484 t=266520
bao jia 	報價	c=53 d=1.00039 t=349958
bao jia dan 	報價單	c=10 d=1.439 t=313003
bao jian 	保健	c=2 d=1 t=328768
bao jian pin 	保健品	c=3 d=2.20949 t=174099
bao jiao zi 	包餃子	c=1 d=1 t=121576
bao jie 	保潔	c=2 d=1 t=175271
bao jing 	報警	c=3 d=1.8781 t=232320
bao kao 	報考	c=4 d=1 t=156843
bao kuo 	包括	c=18 d=1 t=337305
bao le 	包了	c=2 d=1 t=304761
bao le 	報了	c=4 d=2.84644 t=189059
bao le 	飽了	c=1 d=1 t=134926
bao lei 	堡壘	c=1 d=1 t=17483
bao li 	暴力	c=4 d=1 t=232810
bao li mian 	包裏面	c=1 d=1 t=322123
bao lie 	爆裂	c=1 d=1 t=230538
bao liu 	保留	c=15 d=1.01297 t=340994
bao lu 	暴露	c=3 d=1 t=191220
bao luo 	保羅	c=1 d=1 t=15094
bao ma 	寶馬	c=2 d=1 t=308624
bao mi 	保密	c=6 d=1 t=233918
bao mi xing 	保密性	c=2 d=1 t=339905
bao min 	暴民	c=1 d=1 t=155867
bao ming 	包名	c=15 d=1.94649 t=143866
bao ming 	報名	c=55 d=2.14299 t=329073
bao ming ba 	報名吧	c=1 d=1 t=155769
bao ming fei 	報名費	c=1 d=1 t=155929
bao ming le 	報名了	c=1 d=1 t=155783
bao ni 	抱你	c=1 d=1 t=268913
bao nuan 	保暖	c=1 d=1 t=78738
bao pi qi 	暴脾氣	c=1 d=1 t=49176
bao qian 	抱歉	c=1 d=1 t=351854
bao quan 	抱拳	c=1 d=1 t=244742
bao shan 	保山	c=1 d=1 t=149544
bao shang 	報上	c=1 d=1 t=320495
bao shang qu 	報上去	c=3 d=1.00016 t=221451
bao shi jie 	保時捷	c=1 d=1 t=182828
bao shou 	保守	c=1 d=1 t=16150
bao song 	報送	c=1 d=1 t=272078
bao ta 	寶塔	c=1 d=1 t=31672
bao tang 	煲湯	c=1 d=1 t=25665
bao wen 	保溫	c=1 d=1 t=116139
bao wen 	報文	c=1 d=1 t=147181
bao wen 	豹紋	c=18 d=1.08446 t=330758
bao xia 	包下	c=1 d=1 t=215961
bao xian 	保險	c=17 d=1 t=296895
bao xiao 	報銷	c=61 d=1.1809 t=347417
bao xiao guo 	報銷過	c=1 d=1 t=241920
bao xiu 	保修	c=4 d=1 t=206740
bao xiu 	報修	c=1 d=1 t=171050
bao xue 	暴雪	c=2 d=1 t=343714
bao yang 	保養	c=1 d=1 t=299635
